dataset,retained_budget,method_left,method_right,intersection,union,jaccard,left_ECov_slot,right_ECov_slot,left_delta_NLL,right_delta_NLL,left_EAR,right_EAR
RULER-16K,0.25,StreamingLLMPress,ChunkKVPress_Knorm,357,829,0.43063932448733416,0.11778711484593839,0.4738912231559291,2.4149923277382865,1.4010635680081027,0.06935614458242427,
RULER-16K,0.25,StreamingLLMPress,AdaKVPress,105,764,0.13743455497382198,0.02142857142857143,0.44591876102292766,1.8947144495235182,0.47366941915691924,0.012385071807377761,
RULER-16K,0.25,StreamingLLMPress,QuantizedCache,692,929,0.7448869752421959,0.07304913294797688,1.0,2.283705533435563,2.412133681564107,0.04325730398229887,
RULER-16K,0.25,SnapKVPress,TOVAPress,47,279,0.16845878136200718,0.42085057131599685,0.5627068557919622,0.27452865433802287,0.4113100541912047,0.04587987273127999,0.2060521817183187
RULER-16K,0.25,SnapKVPress,KeyDiffPress,51,376,0.1356382978723404,0.43567651597676105,0.6861905410312272,0.13058436484658267,0.4175912438447108,0.045053850350146904,0.1434157240258536
RULER-16K,0.25,SnapKVPress,ChunkKVPress_Knorm,65,543,0.11970534069981584,0.4015162037037037,0.5642806267806267,0.24755556254372657,0.8025743738710519,0.0404504727018612,
RULER-16K,0.25,SnapKVPress,AdaKVPress,118,173,0.6820809248554913,0.4861655484934087,0.4722442914312618,0.5570941831943927,0.4319987595958925,0.04296763486427585,
RULER-16K,0.25,SnapKVPress,QuantizedCache,160,883,0.1812004530011325,0.4881919126157407,1.0,0.502370961163663,2.6146515933082095,0.04397450802960004,
RULER-16K,0.25,TOVAPress,KeyDiffPress,136,297,0.45791245791245794,0.3976273148148148,0.2651143790849673,0.8513268661383051,1.5589691417385187,0.13211220754053485,0.055437210207780876
RULER-16K,0.25,TOVAPress,ChunkKVPress_Knorm,139,475,0.2926315789473684,0.4021416200373035,0.24048427924327204,0.8209607532726511,1.6827155234626605,0.13392139476961373,
