dataset,method_name,retained_budget,retention_semantics,failure_rows,ERR_slot_mean,ECov_slot_mean,distractor_retention_rate_slot_mean,DRR_slot_mean,coverage_type
RULER-8K,ChunkKVPress_Knorm,0.5,per_layer_per_kv_head_original_position_mapping,359,0.5782420718972083,0.5486188486536676,0.5075602017005846,0.596834385588267,projected_token_coverage
RULER-8K,ChunkKVPress_Knorm,0.75,per_layer_per_kv_head_original_position_mapping,171,0.7015867210541095,0.6927631578947369,0.7547487574575317,0.5855550322495248,projected_token_coverage
RULER-8K,KeyDiffPress,0.25,per_layer_per_kv_head_original_position_mapping,293,0.4372304138309765,0.35573904215649094,0.24733998886597708,0.527001426957454,measured_token_coverage
RULER-8K,KeyDiffPress,0.5,per_layer_per_kv_head_original_position_mapping,140,0.6729845209617995,0.6534726355820106,0.49500069373752925,0.517842790038659,measured_token_coverage
RULER-8K,KeyDiffPress,0.75,per_layer_per_kv_head_original_position_mapping,52,0.885247278745356,0.9518885772792023,0.7475133930415456,0.5102132965853664,measured_token_coverage
RULER-8K,QuantizedCache,0.25,all_positions_structurally_preserved,821,,,1.0,0.49999999999975,structural_position_addressability
RULER-8K,QuantizedCache,0.5,all_positions_structurally_preserved,27,,,,,structural_position_addressability
RULER-8K,QuantizedCache,0.75,all_positions_structurally_preserved,9,,,,,structural_position_addressability
RULER-8K,SnapKVPress,0.25,per_layer_per_kv_head_original_position_mapping,246,0.4646668185851694,0.48779405676001203,0.24070146433866985,0.3944960800062078,measured_token_coverage
RULER-8K,SnapKVPress,0.5,per_layer_per_kv_head_original_position_mapping,111,0.6406676951656456,0.6817989864864865,0.495194334080012,0.5108361319232301,measured_token_coverage
RULER-8K,SnapKVPress,0.75,per_layer_per_kv_head_original_position_mapping,24,0.8701706240238903,0.8868393132716049,,,measured_token_coverage
RULER-8K,StreamingLLMPress,0.25,per_layer_per_kv_head_original_position_mapping,789,0.07925345734251221,0.07870722433460076,0.23350305075745295,0.8429890319472111,measured_token_coverage
RULER-8K,StreamingLLMPress,0.5,per_layer_per_kv_head_original_position_mapping,547,0.17177964266674992,0.17111517367458864,0.4906280715293806,0.9597315436221988,measured_token_coverage
RULER-8K,StreamingLLMPress,0.75,per_layer_per_kv_head_original_position_mapping,287,0.2581843446734424,0.25818815331010453,0.7724661715070994,0.9999999999986767,measured_token_coverage
RULER-8K,TOVAPress,0.25,per_layer_per_kv_head_original_position_mapping,213,0.46698467869606675,0.45422969918275086,0.2398628098293306,0.4150814318005368,measured_token_coverage
RULER-8K,TOVAPress,0.5,per_layer_per_kv_head_original_position_mapping,48,0.7068557432688053,0.7162712191358024,0.4929769948051946,0.4775672557468444,measured_token_coverage
RULER-8K,TOVAPress,0.75,per_layer_per_kv_head_original_position_mapping,12,0.9374865246027526,0.9557098765432098,0.7457210098416773,0.4906563434802332,measured_token_coverage
RULER-8K,ThinKPress,0.5,all_positions_structurally_preserved,968,,,1.0,0.49999999999975,structural_position_addressability
RULER-8K,ThinKPress,0.75,all_positions_structurally_preserved,21,,,,,structural_position_addressability
