task_key,official_task_name,method_name,compression_ratio,retained_budget,n_samples,Acc,F1,CIF,ERR,ECov,DRR,delta_NLL,GPR,NA_metric_count
ruler_multikey_niah,niah_multikey_1,TOVAPress,0.75,0.25,100,1.0,1.0,0.0,0.9981344814605684,1.0,0.9989171215258171,-4.73680181604319e-06,1.0000047385777548,0
ruler_multikey_niah,niah_multikey_1,ThinKPress,0.25,0.75,100,1.0,1.0,0.0,N/A,N/A,N/A,0.0003869348717157894,0.9996154637336881,300
ruler_multikey_niah,niah_multikey_1,ThinKPress,0.5,0.5,100,0.0,0.0,1.0,N/A,N/A,N/A,6.692780469543056,0.0027994081020855633,300
ruler_multikey_niah,niah_multikey_1,ThinKPress,0.75,0.25,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500
ruler_multikey_niah,niah_multikey_2,AdaKVPress,0.25,0.75,100,1.0,1.0,0.0,N/A,N/A,N/A,8.350042762381716e-06,0.9999916503454765,300
ruler_multikey_niah,niah_multikey_2,AdaKVPress,0.5,0.5,100,1.0,1.0,0.0,N/A,N/A,N/A,2.2458012078336863e-05,0.9999775434205072,300
ruler_multikey_niah,niah_multikey_2,AdaKVPress,0.75,0.25,100,0.99,0.99,0.01,N/A,N/A,N/A,0.010587856590268912,0.9933857303153169,300
ruler_multikey_niah,niah_multikey_2,ChunkKVPress_Knorm,0.25,0.75,100,0.81,0.81,0.19,N/A,N/A,N/A,0.2795421908082842,0.8695767116019737,300
ruler_multikey_niah,niah_multikey_2,ChunkKVPress_Knorm,0.5,0.5,100,0.54,0.54,0.46,N/A,N/A,N/A,0.7467131353869604,0.6530266308451216,300
ruler_multikey_niah,niah_multikey_2,ChunkKVPress_Knorm,0.75,0.25,100,0.28,0.28,0.72,N/A,N/A,N/A,1.6797051557705507,0.3124990404664468,300
ruler_multikey_niah,niah_multikey_2,KeyDiffPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,4.547241949431013e-05,0.9999545492091929,0
ruler_multikey_niah,niah_multikey_2,KeyDiffPress,0.5,0.5,100,0.92,0.92,0.08,1.0,1.0,1.0,0.015498895686484054,0.987659243331582,0
ruler_multikey_niah,niah_multikey_2,KeyDiffPress,0.75,0.25,100,0.43,0.43,0.57,1.0,1.0,0.999949423875702,0.7213896737164117,0.6111978147105388,0
ruler_multikey_niah,niah_multikey_2,PyramidKVPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,2.1395629643228277e-06,0.9999978612770707,0
ruler_multikey_niah,niah_multikey_2,PyramidKVPress,0.5,0.5,100,0.98,0.98,0.02,1.0,1.0,0.9999993582338595,0.006320979027100064,0.9953002588800743,0
ruler_multikey_niah,niah_multikey_2,PyramidKVPress,0.75,0.25,100,0.96,0.96,0.04,1.0,1.0,0.9961739366376618,0.07718401260063007,0.9585980404089837,0
ruler_multikey_niah,niah_multikey_2,QuantizedCache,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,-5.489525675261841e-06,1.0000054900102466,0
ruler_multikey_niah,niah_multikey_2,QuantizedCache,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,1.0,2.0231714333600602e-05,0.9999797811944188,0
ruler_multikey_niah,niah_multikey_2,QuantizedCache,0.75,0.25,100,0.07,0.07,0.93,1.0,1.0,1.0,1.6709056298772962,0.23829899530898235,0
ruler_multikey_niah,niah_multikey_2,SnapKVPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,2.1395629643228277e-06,0.9999978612770707,0
ruler_multikey_niah,niah_multikey_2,SnapKVPress,0.5,0.5,100,0.98,0.98,0.02,1.0,1.0,0.9999993582338595,0.006320979027100064,0.9953002588800743,0
ruler_multikey_niah,niah_multikey_2,SnapKVPress,0.75,0.25,100,0.96,0.96,0.04,1.0,1.0,0.9961739366376618,0.07718401260063007,0.9585980404089837,0
ruler_multikey_niah,niah_multikey_2,StreamingLLMPress,0.25,0.75,100,0.72,0.72,0.28,0.72,0.72,0.7505426783697129,0.6860406057326144,0.7451066209714351,0
ruler_multikey_niah,niah_multikey_2,StreamingLLMPress,0.5,0.5,100,0.46,0.46,0.54,0.46,0.46,0.49965040269027206,1.3236861008196732,0.5084186902526123,0
ruler_multikey_niah,niah_multikey_2,StreamingLLMPress,0.75,0.25,100,0.21,0.21,0.79,0.21,0.21,0.24863763761879948,1.873405658987757,0.2859329343129726,0
ruler_multikey_niah,niah_multikey_2,TOVAPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,0.9999511041892627,5.381447515804272e-06,0.9999946191222875,0
ruler_multikey_niah,niah_multikey_2,TOVAPress,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,0.9872668584262903,0.03910365041716342,0.9804768858067368,0
ruler_multikey_niah,niah_multikey_2,TOVAPress,0.75,0.25,100,0.87,0.87,0.13,0.9959382269904009,1.0,0.8820206474083649,0.4142962404641133,0.7775987920454479,0
ruler_multikey_niah,niah_multikey_2,ThinKPress,0.25,0.75,100,1.0,1.0,0.0,N/A,N/A,N/A,0.0006528854792327432,0.9993475230830746,300
ruler_multikey_niah,niah_multikey_2,ThinKPress,0.5,0.5,100,0.0,0.0,1.0,N/A,N/A,N/A,7.296706994458943,0.0014157354408561573,300
ruler_multikey_niah,niah_multikey_2,ThinKPress,0.75,0.25,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500
ruler_multikey_niah,niah_multikey_3,AdaKVPress,0.25,0.75,100,0.99,0.99,0.0,N/A,N/A,N/A,2.38697979651592e-06,0.9999976130530448,300
ruler_multikey_niah,niah_multikey_3,AdaKVPress,0.5,0.5,100,0.99,0.99,0.0,N/A,N/A,N/A,4.647078787785419e-05,0.9999536007307576,300
ruler_multikey_niah,niah_multikey_3,AdaKVPress,0.75,0.25,100,0.99,0.99,0.0,N/A,N/A,N/A,0.0020767014981138508,0.9979778204107146,300
ruler_multikey_niah,niah_multikey_3,ChunkKVPress_Knorm,0.25,0.75,100,0.74,0.74,0.25,N/A,N/A,N/A,0.17690673780428873,0.8805579635680207,300
ruler_multikey_niah,niah_multikey_3,ChunkKVPress_Knorm,0.5,0.5,100,0.26,0.26,0.73,N/A,N/A,N/A,1.0527734469925851,0.47134897349569804,300
ruler_multikey_niah,niah_multikey_3,ChunkKVPress_Knorm,0.75,0.25,100,0.04,0.04,0.95,N/A,N/A,N/A,2.152349692707683,0.16491280068967412,300
ruler_multikey_niah,niah_multikey_3,KeyDiffPress,0.25,0.75,100,0.89,0.89,0.1,1.0,1.0,1.0,0.04938611995642538,0.9616278433618632,0
ruler_multikey_niah,niah_multikey_3,KeyDiffPress,0.5,0.5,100,0.43,0.43,0.56,1.0,1.0,1.0,0.6385798383085407,0.6582433526901899,0
ruler_multikey_niah,niah_multikey_3,KeyDiffPress,0.75,0.25,100,0.02,0.02,0.97,1.0,1.0,0.9996704033021017,2.155896522837084,0.18806198077853453,0
ruler_multikey_niah,niah_multikey_3,PyramidKVPress,0.25,0.75,100,0.99,0.99,0.0,1.0,1.0,1.0,1.9190052836096095e-05,0.9999808264907625,0
ruler_multikey_niah,niah_multikey_3,PyramidKVPress,0.5,0.5,99,0.98989898989899,0.98989898989899,0.0,1.0,1.0,1.0,3.635144283488785e-06,0.9999963859831466,0
ruler_multikey_niah,niah_multikey_3,PyramidKVPress,0.75,0.25,100,0.92,0.92,0.07,1.0,1.0,0.9976584370725402,0.025404506881836934,0.9782501491351698,0
ruler_multikey_niah,niah_multikey_3,QuantizedCache,0.25,0.75,100,0.99,0.99,0.0,1.0,1.0,1.0,1.7859056526073335e-05,0.9999821574931435,0
ruler_multikey_niah,niah_multikey_3,QuantizedCache,0.5,0.5,100,0.99,0.99,0.0,1.0,1.0,1.0,2.029307403764613e-05,0.999979724096312,0
ruler_multikey_niah,niah_multikey_3,QuantizedCache,0.75,0.25,100,0.0,0.0,0.99,1.0,1.0,1.0,3.626171566044795,0.034630812165176876,0
ruler_multikey_niah,niah_multikey_3,SnapKVPress,0.25,0.75,100,0.99,0.99,0.0,1.0,1.0,1.0,1.9190052836096095e-05,0.9999808264907625,0
